pair_id,chain_length,subject,target,ctrl_top1_decoded,contr_top1_decoded,kl_ctrl_to_contr,kl_contr_to_ctrl,jsd,hellinger,fisher_rao,total_variation,bhattacharyya_coef,ctrl_top1_id,contr_top1_id,same_top1_token,p_ctrl_top1_prob,p_contr_top1_prob
0,2,Rell1762,vask,"
","
",0.0010809906525537372,0.0006576930172741413,0.0001712765806587413,0.013765288436533641,0.03893473000000885,0.0011008926667273045,0.999810516834259,781,781,True,0.9972485899925232,0.9965529441833496
1,2,Tovin4617,zenith,"
","
",0.0009464853210374713,0.000707023311406374,0.000182894931640476,0.013892438223102339,0.039294381100468484,0.0015333693008869886,0.9998070001602173,781,781,True,0.9969465136528015,0.99580979347229
2,2,Tovin0112,glorp,"
","
",0.0011744730873033404,0.0008464853162877262,0.0002136722905561328,0.015176045183515677,0.04292516171987455,0.0014904190320521593,0.9997696876525879,781,781,True,0.9963797926902771,0.9953699707984924
3,2,Sema5924,quorin,"
","
",0.0006402316503226757,0.0004137260839343071,0.00010902609210461378,0.010896442189658885,0.03082009760307038,0.0008365288376808167,0.9998812675476074,781,781,True,0.9967779517173767,0.996246874332428
4,2,Pavo1506,vask,"
","
",0.001036790432408452,0.000677126576192677,0.0001763259497238323,0.013851619094242464,0.0391789216144961,0.0012811269843950868,0.999808132648468,781,781,True,0.9971611499786377,0.9962424039840698
5,2,Drax4555,prax,"
","
",0.0009813205106183887,0.0006464655161835253,0.00017841403314378113,0.013769617824417553,0.03894697593842926,0.0008747600368224084,0.9998103976249695,781,781,True,0.997035026550293,0.9968663454055786
6,2,Rell1137,krel,"
","
",0.0008410050650127232,0.0004995967028662562,0.00013758048589807004,0.012253330167314067,0.03465808506517568,0.0008990614442154765,0.9998498558998108,781,781,True,0.996894121170044,0.9964224696159363
7,2,Sema3595,vask,"
","
",0.0006536061409860849,0.0004184597637504339,0.00010824177297763526,0.010896442189658885,0.03082009760307038,0.0007122493116185069,0.9998812675476074,781,781,True,0.9975652694702148,0.9971409440040588
8,2,Rima1753,blen,"
","
",0.000575906946323812,0.00032188696786761284,8.944463115767576e-05,0.009950040953278727,0.02814319791700294,0.0005023103440180421,0.9999009966850281,781,781,True,0.9969693422317505,0.9967926144599915
9,2,Rell2864,dorin,"
","
",0.0010822503827512264,0.0007649275357834995,0.00019211260951124132,0.014427037795599763,0.040806532839022344,0.0013778291177004576,0.9997918605804443,781,781,True,0.9970525503158569,0.9960771203041077
10,2,Drax1483,thalen,"
","
",0.00044105821871198714,0.00032701806048862636,8.457954390905797e-05,0.009474417925748171,0.026797901113478646,0.0006561956834048033,0.9999102354049683,781,781,True,0.9976962804794312,0.9973227381706238
11,2,Tovin5158,virel,"
","
",0.0007159142987802625,0.00045549191418103874,0.0001197353340103291,0.01144600407200297,0.032374541845552135,0.0008789955172687769,0.9998689889907837,781,781,True,0.9967378973960876,0.9961827397346497
12,2,Sema5767,valen,"
","
",0.0006796354427933693,0.00034824188333004713,9.934255649568513e-05,0.010551847062975737,0.029845407372772227,0.0004864624352194369,0.9998886585235596,781,781,True,0.9966336488723755,0.9964709281921387
13,2,Flib4081,quorin,"
","
",0.0008369991555809975,0.0004921059589833021,0.0001304855031776242,0.012042346147596215,0.03406131012344266,0.0008005049312487245,0.9998549818992615,781,781,True,0.9967633485794067,0.9963129758834839
14,2,Sema5743,virel,"
","
",0.0007250906201079488,0.00045000293175689876,0.00012299766967771575,0.011536774756553379,0.032631288588032464,0.0008591996738687158,0.9998669028282166,781,781,True,0.9970343112945557,0.9965209364891052
15,2,Mela7972,mordin,"
","
",0.0008660404710099101,0.0006890614749863744,0.00017164071323350072,0.013460985109463107,0.03807399033545803,0.0015782542759552598,0.9998188018798828,781,781,True,0.996921956539154,0.9956660270690918
16,2,Drax2088,glorp,"
","
",0.0008071667980402708,0.0005307468236424029,0.0001418912288499996,0.012362293848800941,0.03496629256979316,0.0007644800934940577,0.9998471736907959,781,781,True,0.9961802959442139,0.9959476590156555
17,2,Varn1409,nuvin,"
","
",0.0013669002801179886,0.000708653824403882,0.00020111602498218417,0.014980370074846138,0.04237167747455489,0.0009858334669843316,0.9997755885124207,781,781,True,0.9966997504234314,0.9963638186454773
18,2,Drax1386,zenith,"
","
",0.0007026894018054008,0.0006120491307228804,0.0001516181800980121,0.012541796424845042,0.03547402220686569,0.001346987672150135,0.9998427033424377,781,781,True,0.9974837303161621,0.9964501857757568
19,2,Luni1482,seral,"
","
",0.0006810736958868802,0.0003849738568533212,0.00010642287088558078,0.010847099556407745,0.030680531436688658,0.0005622715689241886,0.9998823404312134,781,781,True,0.9969207644462585,0.9967276453971863
20,2,Kiro9323,valen,"
","
",0.0007278275443241,0.0003620874194893986,0.00010546891280682757,0.010866314982552678,0.030734882470797743,0.0006238263449631631,0.9998819231987,781,781,True,0.995886504650116,0.9955922961235046
21,2,Luni7018,melta,"
","
",0.0006533623673021793,0.00039437273517251015,0.00010789412772282958,0.010863572002581538,0.03072712392287303,0.0004143627011217177,0.9998819828033447,781,781,True,0.9974568486213684,0.99764484167099
22,2,Nara0640,blen,"
","
",0.0007845605723559856,0.0005133473896421492,0.00013741532166022807,0.012160556059972922,0.03439567048770509,0.0011365297250449657,0.9998521208763123,781,781,True,0.9968337416648865,0.9960677623748779
23,2,Rell8357,trune,"
","
",0.0007859249017201364,0.0005295812734402716,0.00013934921298641711,0.012238728378412386,0.03461678342089446,0.0009839197155088186,0.9998502135276794,781,781,True,0.9977890253067017,0.9971798658370972
24,2,Luni5475,mordin,"
","
",0.0011308267712593079,0.0007503358065150678,0.00019477936439216137,0.01453610902988691,0.041115049052304314,0.0015027365880087018,0.9997887015342712,781,781,True,0.9966235160827637,0.9955307841300964
25,5,Rell1301,zenith,"
","
",0.0007054663728922606,0.00047608415479771793,0.00012326938303885981,0.011572883686026691,0.03273342347277125,0.0005425172275863588,0.9998660683631897,781,781,True,0.9923121333122253,0.9926757216453552
26,5,Drax3567,torin,"
","
",0.0009723515249788761,0.0007335125701501966,0.0001837482486735098,0.014035431984184384,0.03969884825054779,0.0010919594205915928,0.9998030066490173,781,781,True,0.9931558966636658,0.9939952492713928
27,5,Luni1266,quorin,"
","
",0.0006755779031664133,0.0006661356892436743,0.0001503730600234121,0.012575019784839757,0.03556799576475252,0.0013029371621087193,0.9998418688774109,781,781,True,0.9925501346588135,0.9917477965354919
28,5,Kiro4819,trune,"
","
",0.00047675316454842687,0.0003881214652210474,9.721206879476085e-05,0.010104590862585389,0.02858034206135875,0.0007189963944256306,0.9998978972434998,781,781,True,0.9940833449363708,0.9938333034515381
29,5,Nara4222,mordin,"
","
",0.0006837553228251636,0.0005977664841338992,0.0001440005944459699,0.012304299969095852,0.03480225486928354,0.0012462453451007605,0.9998486042022705,781,781,True,0.9921414852142334,0.9930970668792725
30,5,Varn4618,sorin,"
","
",0.0006709005101583898,0.0005255549331195652,0.00013515939281205647,0.011910459880518035,0.033688266051059915,0.0008225966012105346,0.9998581409454346,781,781,True,0.9938953518867493,0.9944864511489868
31,5,Drax1476,krel,"
","
",0.000994588015601039,0.0007440835470333695,0.00018993812409462407,0.014223155921513192,0.04022983822920872,0.001532679540105164,0.9997977018356323,781,781,True,0.9915341734886169,0.9928340911865234
32,5,Varn0290,trune,"
","
",0.0010027788812294602,0.0008151779766194522,0.00020183148444630206,0.01460156890068914,0.04130020735175268,0.0011603434104472399,0.9997867941856384,781,781,True,0.9931446313858032,0.9928193688392639
33,5,Mela2729,dravan,"
","
",0.0005413891631178558,0.0004639136022888124,0.00010766484410851263,0.010756050181597017,0.030422997403246044,0.0004481200303416699,0.999884307384491,781,781,True,0.9940152764320374,0.9941096305847168
34,5,Flib1960,melta,"
","
",0.0010686330497264862,0.0006144997314549983,0.00017569289047969505,0.013814994483198348,0.03907532661506966,0.0007652166532352567,0.9998091459274292,781,781,True,0.9939584732055664,0.9945381283760071
35,5,Tovin3093,krel,"
","
",0.0004123321268707514,0.0004378758603706956,9.301899990532547e-05,0.009935053686218654,0.028100806476667795,0.0005967664183117449,0.999901294708252,781,781,True,0.9905937910079956,0.9909347891807556
