sample_id,contradiction,chain_length,tok_step1,tok_step2,top1_p_step1,top1_p_step2,entropy_step1,entropy_step2,jsd_step1_step2,kl_step1_step2,kl_step2_step1
0,False,5, Answer,:,0.6526367664337158,0.9999942779541016,0.9565191864967346,8.890665048966184e-05,0.6931439638137817,23.114032745361328,20.156518936157227
1,False,5, Answer,:,0.6272175908088684,0.9999908208847046,0.9995089173316956,0.0001348898804280907,0.6931433081626892,22.76282501220703,19.926773071289062
2,True,2, NO,"

",0.6833435893058777,0.989762008190155,0.7800580263137817,0.071391761302948,0.6922915577888489,16.026519775390625,17.391603469848633
3,False,5, NO,"

",0.5844311714172363,0.9891583919525146,1.1663588285446167,0.08017833530902863,0.6911000907421112,14.530013084411621,14.623205184936523
4,False,2, YES,"

",0.5308265686035156,0.9820986986160278,1.2590700387954712,0.11140426248311996,0.691659152507782,13.595052719116211,14.558143615722656
5,True,5, NO,"

",0.6157962679862976,0.9820311069488525,0.8786298036575317,0.1230686753988266,0.6911541819572449,14.747474670410156,16.830427169799805
6,False,5, Answer,:,0.6256639361381531,0.9999936819076538,1.0601806640625,9.644604870118201e-05,0.6931436657905579,22.87267303466797,20.026914596557617
7,False,5, Answer,:,0.5716844797134399,0.9999929666519165,1.0314470529556274,0.00010473568545421585,0.6931436955928802,22.25328826904297,19.839868545532227
8,False,2, Answer,:,0.5483004450798035,0.9999710321426392,1.1291288137435913,0.0004039311606902629,0.693137139081955,20.310834884643555,20.17795181274414
9,False,5, Answer,:,0.6616790294647217,0.9999904632568359,0.9072997570037842,0.00014524091966450214,0.6931427419185638,22.383098602294922,20.911579132080078
10,True,2, NO,"

",0.682575523853302,0.992368757724762,0.7544717192649841,0.05522662401199341,0.6921856105327606,16.039602279663086,17.286693572998047
11,True,2, NO,"

",0.70143061876297,0.9877523183822632,0.7672723531723022,0.08383291214704514,0.691841334104538,16.223350524902344,17.315902709960938
12,True,2, NO,"

",0.6783009171485901,0.9898539185523987,0.8014721274375916,0.07270893454551697,0.6920726001262665,15.300801277160645,16.975074768066406
13,True,5, NO,"

",0.6491965055465698,0.9894324541091919,0.853801429271698,0.0767926499247551,0.6913708746433258,15.592973709106445,16.84427833557129
14,False,2, Answer,:,0.4726744294166565,0.9999692440032959,1.2300349473953247,0.00043250247836112976,0.6931337416172028,19.340078353881836,19.303251266479492
15,False,2, Answer,:,0.5892292857170105,0.9999861717224121,1.0024957656860352,0.00020490966562647372,0.6931394040584564,21.355066299438477,19.99694061279297
16,True,5, NO,"

",0.6545708179473877,0.9910940527915955,0.7820667624473572,0.06302116811275482,0.6922139525413513,15.540083885192871,16.851533889770508
17,True,2, NO,"

",0.7495286464691162,0.9880200028419495,0.7234256267547607,0.08477485179901123,0.6913419961929321,15.902225494384766,16.788721084594727
18,False,5, Answer,:,0.6885355710983276,0.9999960660934448,0.8542286157608032,6.095752905821428e-05,0.6931447684764862,23.665618896484375,20.59878921508789
19,True,2, NO,"

",0.6897684335708618,0.9904454946517944,0.7589144706726074,0.06840431690216064,0.69217848777771,16.132402420043945,16.863361358642578
20,True,5, NO,"

",0.6240876913070679,0.9876343607902527,0.8630140423774719,0.08700131624937057,0.6913746893405914,15.236194610595703,16.84907341003418
