sample_id,contradiction,chain_length,tok_step1,tok_step2,top1_p_step1,top1_p_step2,entropy_step1,entropy_step2,jsd_step1_step2,kl_step1_step2,kl_step2_step1
0,False,5, Answer,:,0.473134845495224,0.9700384140014648,1.7995108366012573,0.2457570731639862,0.6836256682872772,8.687156677246094,16.03018569946289
1,False,5, Answer,:,0.459627628326416,0.9679461121559143,1.8259661197662354,0.2580246925354004,0.6828772723674774,8.5947265625,15.728118896484375
2,True,2, Answer,:,0.3785467743873596,0.946807861328125,2.1783018112182617,0.39685767889022827,0.6751036942005157,7.8189005851745605,14.469772338867188
3,False,5, Answer,:,0.46662020683288574,0.9702420234680176,1.8086025714874268,0.24018031358718872,0.6842286884784698,8.726710319519043,15.90166187286377
4,False,2, Answer,:,0.44661110639572144,0.9659395217895508,1.9615916013717651,0.2674066126346588,0.6823790073394775,8.988346099853516,15.738077163696289
5,True,5, Answer,:,0.52434241771698,0.9588778614997864,1.5903239250183105,0.31499218940734863,0.6832008063793182,8.74963665008545,15.952261924743652
6,False,5, Answer,:,0.4900447130203247,0.9722099900245667,1.752859115600586,0.22798047959804535,0.6842526197433472,8.906903266906738,16.18431854248047
7,False,5, Answer,:,0.528128981590271,0.9702484607696533,1.6009694337844849,0.2422332614660263,0.6847019791603088,9.124523162841797,16.49254608154297
8,False,2, Answer,:,0.4245688319206238,0.9637246131896973,1.9370183944702148,0.28476378321647644,0.6810801923274994,8.96591567993164,15.825211524963379
9,False,5, Answer,:,0.5707806348800659,0.9701751470565796,1.5486234426498413,0.24289655685424805,0.6844224035739899,9.59664249420166,16.399394989013672
10,True,2, Answer,:,0.42902252078056335,0.9557835459709167,1.8684139251708984,0.334184467792511,0.6790896356105804,8.524384498596191,15.283669471740723
11,True,2, Answer,:,0.4046562910079956,0.9644407033920288,1.907547116279602,0.27513235807418823,0.6819594204425812,8.887197494506836,15.765494346618652
12,True,2, Answer,:,0.4037298560142517,0.9722356796264648,1.9310518503189087,0.22734233736991882,0.682994931936264,9.228413581848145,15.609484672546387
13,True,5, Answer,:,0.5122840404510498,0.9632900357246399,1.6651474237442017,0.2876993417739868,0.6842139065265656,8.83922004699707,16.100112915039062
